Project,DefectId,FileCount,LineCount
Chart,1,1,1
Chart,10,1,1
Chart,11,1,1
Chart,12,1,1
Chart,13,1,1
Chart,14,2,12
Chart,15,1,5
Chart,16,1,3
Chart,17,1,2
Chart,18,2,13
Chart,19,1,6
Chart,2,1,14
Chart,20,1,1
Chart,21,1,39
Chart,22,1,32
Chart,23,1,19
Chart,24,1,1
Chart,25,1,14
Chart,26,1,2
Chart,3,1,2
Chart,4,1,2
Chart,5,1,5
Chart,6,1,8
Chart,7,1,2
Chart,8,1,1
Chart,9,1,1
Closure,1,1,3
Closure,10,1,1
Closure,100,1,8
Closure,101,1,3
Closure,102,1,1
Closure,103,2,8
Closure,104,1,1
Closure,105,1,7
Closure,106,2,6
Closure,107,1,1
Closure,108,1,4
Closure,109,1,5
Closure,11,1,2
Closure,110,2,25
Closure,111,1,2
Closure,112,1,9
Closure,113,1,1
Closure,114,1,1
Closure,115,1,11
Closure,116,1,12
Closure,117,1,24
Closure,118,1,3
Closure,119,1,1
Closure,12,1,6
Closure,120,1,3
Closure,121,1,3
Closure,122,1,2
Closure,123,1,1
Closure,124,1,2
Closure,125,1,1
Closure,126,1,4
Closure,127,1,10
Closure,128,1,4
Closure,129,1,3
Closure,13,1,1
Closure,130,1,1
Closure,131,1,2
Closure,132,1,3
Closure,133,1,1
Closure,14,1,1
Closure,15,1,3
Closure,16,1,9
Closure,17,1,5
Closure,18,1,1
Closure,19,1,2
Closure,2,1,4
Closure,20,1,2
Closure,21,1,19
Closure,22,1,26
Closure,23,1,7
Closure,24,1,4
Closure,25,1,4
Closure,26,1,5
Closure,27,1,6
Closure,28,1,4
Closure,29,1,10
Closure,3,1,8
Closure,30,2,10
Closure,31,1,1
Closure,32,1,18
Closure,33,1,3
Closure,34,2,5
Closure,35,1,15
Closure,36,1,3
Closure,37,2,5
Closure,38,1,1
Closure,39,1,3
Closure,4,1,2
Closure,40,1,3
Closure,41,1,9
Closure,42,1,7
Closure,43,1,17
Closure,44,1,2
Closure,45,1,6
Closure,46,1,16
Closure,47,2,8
Closure,48,1,7
Closure,49,1,22
Closure,5,1,3
Closure,50,1,6
Closure,51,1,1
Closure,52,1,1
Closure,53,1,4
Closure,54,2,13
Closure,55,1,2
Closure,56,1,4
Closure,57,1,1
Closure,58,1,4
Closure,59,1,2
Closure,6,1,8
Closure,60,1,5
Closure,61,1,6
Closure,62,1,1
Closure,63,1,1
Closure,64,1,4
Closure,65,1,1
Closure,66,1,2
Closure,67,1,1
Closure,68,1,3
Closure,69,1,7
Closure,7,1,5
Closure,70,1,1
Closure,71,1,1
Closure,72,2,3
Closure,73,1,1
Closure,74,1,15
Closure,75,1,4
Closure,76,1,39
Closure,77,1,1
Closure,78,1,2
Closure,79,2,2
Closure,8,1,4
Closure,80,1,2
Closure,81,1,7
Closure,82,1,3
Closure,83,1,4
Closure,84,1,27
Closure,85,1,21
Closure,86,1,1
Closure,87,1,13
Closure,88,1,6
Closure,89,2,4
Closure,9,1,2
Closure,90,2,4
Closure,91,1,9
Closure,92,1,1
Closure,93,1,1
Closure,94,1,19
Closure,95,1,7
Closure,96,1,4
Closure,97,1,2
Closure,98,1,19
Closure,99,1,6
Lang,1,1,11
Lang,10,1,9
Lang,11,1,4
Lang,12,1,7
Lang,13,1,19
Lang,14,1,3
Lang,15,1,4
Lang,16,1,1
Lang,17,1,9
Lang,18,1,3
Lang,19,1,9
Lang,2,1,3
Lang,20,1,2
Lang,21,1,1
Lang,22,1,7
Lang,23,1,31
Lang,24,1,1
Lang,25,1,27
Lang,26,1,1
Lang,27,1,4
Lang,28,1,6
Lang,29,1,1
Lang,3,1,4
Lang,30,1,43
Lang,31,1,8
Lang,32,1,22
Lang,33,1,1
Lang,34,1,2
Lang,35,1,2
Lang,36,1,9
Lang,37,1,8
Lang,38,1,1
Lang,39,1,3
Lang,4,1,4
Lang,40,1,8
Lang,41,1,21
Lang,42,1,7
Lang,43,1,1
Lang,44,1,3
Lang,45,1,3
Lang,46,1,10
Lang,47,1,6
Lang,48,1,4
Lang,49,1,3
Lang,5,1,21
Lang,50,1,10
Lang,51,1,1
Lang,52,1,4
Lang,53,1,2
Lang,54,1,3
Lang,55,1,2
Lang,56,1,6
Lang,57,1,1
Lang,58,1,2
Lang,59,1,1
Lang,6,1,1
Lang,60,1,2
Lang,61,1,1
Lang,62,1,8
Lang,63,1,20
Lang,64,1,21
Lang,65,1,30
Lang,7,1,6
Lang,8,1,3
Lang,9,1,3
Math,1,2,6
Math,10,1,1
Math,100,1,3
Math,101,1,2
Math,102,1,17
Math,103,1,10
Math,104,1,1
Math,105,1,1
Math,106,1,8
Math,11,1,1
Math,12,1,4
Math,13,1,9
Math,14,2,13
Math,15,1,2
Math,16,1,21
Math,17,1,4
Math,18,1,6
Math,19,1,13
Math,2,1,1
Math,20,1,2
Math,21,1,14
Math,22,2,2
Math,23,1,9
Math,24,1,2
Math,25,1,3
Math,26,1,2
Math,27,1,1
Math,28,1,4
Math,29,1,16
Math,3,1,3
Math,30,1,1
Math,31,1,33
Math,32,1,1
Math,33,1,1
Math,34,1,1
Math,35,1,2
Math,36,1,12
Math,37,1,14
Math,38,1,4
Math,39,1,9
Math,4,2,6
Math,40,1,8
Math,41,1,1
Math,42,1,3
Math,43,1,3
Math,44,1,7
Math,45,1,5
Math,46,1,2
Math,47,1,5
Math,48,1,3
Math,49,1,4
Math,5,1,1
Math,50,1,4
Math,51,1,9
Math,52,1,4
Math,53,1,3
Math,54,1,7
Math,55,1,18
Math,56,1,7
Math,57,1,1
Math,58,1,1
Math,59,1,1
Math,6,7,17
Math,60,1,10
Math,61,1,2
Math,62,1,4
Math,63,1,1
Math,64,1,27
Math,65,1,7
Math,66,1,22
Math,67,1,2
Math,68,1,12
Math,69,1,1
Math,7,1,11
Math,70,1,1
Math,71,2,7
Math,72,1,2
Math,73,1,4
Math,74,1,7
Math,75,1,1
Math,76,1,14
Math,77,2,10
Math,78,1,11
Math,79,1,2
Math,8,1,2
Math,80,1,1
Math,81,1,4
Math,82,1,1
Math,83,1,3
Math,84,1,9
Math,85,1,1
Math,86,1,6
Math,87,1,4
Math,88,1,6
Math,89,1,4
Math,9,1,2
Math,90,1,3
Math,91,1,2
Math,92,1,49
Math,93,1,10
Math,94,1,1
Math,95,1,3
Math,96,1,1
Math,97,1,16
Math,98,2,2
Math,99,1,8
Time,1,2,13
Time,10,1,2
Time,11,1,5
Time,12,2,14
Time,13,1,5
Time,14,1,5
Time,15,1,3
Time,16,1,1
Time,17,1,18
Time,18,1,12
Time,19,1,1
Time,2,2,7
Time,20,1,8
Time,21,1,16
Time,22,1,6
Time,23,1,13
Time,24,1,5
Time,25,1,9
Time,26,1,7
Time,27,1,2
Time,3,1,20
Time,4,1,1
Time,5,1,12
Time,6,1,26
Time,7,1,1
Time,8,1,5
Time,9,1,9
